Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2008-01-02,199.27,200.26,192.55,194.84,38542100.0,0.0,1.0,25.316607854761113,25.44238414710925,24.462853627913145,24.753790708193183,269794700.0
2008-01-03,195.41,197.39,192.69,194.93,30073800.0,0.0,1.0,24.82620736136332,25.077759946059597,24.48064017430581,24.76522491658847,210516600.0
2008-01-04,191.45,193.0,178.89,180.05,51994000.0,0.0,1.0,24.32310219197077,24.520024669889573,22.72739488702873,22.874769128567966,363958000.0
2008-01-07,181.25,183.6,170.23,177.64,74006900.0,0.0,1.0,23.027225240505103,23.325785126381994,21.62716994588239,22.56858643709421,518048300.0
2008-01-08,180.14,182.46,170.8,171.25,54422000.0,0.0,1.0,22.88620333696325,23.180951820041717,21.699586599052534,21.75675764102896,380954000.0
2008-01-09,171.3,179.5,168.3,179.4,64781500.0,0.0,1.0,21.76310997902634,22.804893410596776,21.381969699183497,22.792188734602018,453470500.0
2008-01-10,177.58,181.0,175.41,178.02,52963400.0,0.0,1.0,22.56096363149736,22.9954635505182,22.285272162411033,22.616864205874307,370743800.0
2008-01-11,176.0,177.85,170.0,172.69,44010200.0,0.0,1.0,22.360229750780128,22.595266256683214,21.59794919109444,21.93970497535352,308071400.0
2008-01-14,177.52,179.42,175.17,178.78,39301800.0,0.0,1.0,22.553340825900502,22.794729669800965,22.254780940023604,22.713419743434496,275112600.0
2008-01-15,177.72,179.22,164.66,169.04,83688500.0,0.0,1.0,22.578750177890022,22.769320317811445,20.919519492974178,21.47598430154473,585819500.0
2008-01-16,165.23,169.01,156.7,159.64,79065900.0,0.0,1.0,20.99193614614432,21.4721728987463,19.908227283791167,20.281744758037153,553461300.0
2008-01-17,161.51,165.36,158.42,160.89,62780700.0,0.0,1.0,20.519322199139193,21.00845222493751,20.126747710901064,20.44055320797167,439464900.0
2008-01-18,161.71,165.75,159.61,161.36,61583700.0,0.0,1.0,20.54473155112872,21.05800046131708,20.27793335523873,20.500265185147054,431085900.0
2008-01-22,148.06,159.98,146.0,155.64,86955500.0,0.0,1.0,18.81054327784378,20.324940656419344,18.548826952351696,19.773557718246696,608688500.0
2008-01-23,136.19,140.0,126.14,139.072,120463200.0,0.0,1.0,17.3024982372656,17.78654639266601,16.025678299792077,17.668646999434625,843242400.0
2008-01-24,139.99,140.7,132.01,135.6,71638100.0,0.0,1.0,17.785275925066536,17.87547912462934,16.77144278068457,17.227540648896507,501466700.0
2008-01-25,138.99,139.09,129.61,130.01,55526400.0,0.0,1.0,17.65822916511892,17.67093384111368,16.466530556810298,16.51734926078934,388684800.0
2008-01-28,128.16,133.2,126.45,130.01,52673000.0,0.0,1.0,16.282312754886256,16.922628425022232,16.065062795375837,16.51734926078934,368711000.0
2008-01-29,131.15,132.79,129.05,131.54,39285100.0,0.0,1.0,16.662182567129623,16.87053925344371,16.395384371239633,16.71173080350919,274995700.0
2008-01-30,131.37,135.45,130.0,132.18,44394700.0,0.0,1.0,16.690132854318097,17.208483634904365,16.516078793189866,16.793040729875667,310762900.0
2008-01-31,129.45,136.65,129.4,135.36,48059800.0,0.0,1.0,16.446203075218676,17.360939746841503,16.4398507372213,17.197049426509082,336418600.0
2008-02-01,136.24,136.59,132.18,133.75,36098000.0,0.0,1.0,17.30885057526298,17.353316941244646,16.793040729875667,16.992504142993422,252686000.0
2008-02-04,134.21,135.9,131.42,131.65,32115500.0,0.0,1.0,17.050945652569325,17.265654676880793,16.69648519231548,16.72570594710343,224808500.0
2008-02-05,130.43,134.0,128.9,129.36,40751500.0,0.0,1.0,16.570708899967343,17.024265832980323,16.37632735724749,16.434768866823394,285260500.0
2008-02-06,130.83,131.92,121.77,122.0,56188300.0,0.0,1.0,16.621527603946387,16.760008572289284,15.470483958821,15.499704713608951,393318100.0
2008-02-07,119.97,124.78,117.27,121.24,74404700.0,0.0,1.0,15.241799790915294,15.852894706263319,14.898773539056736,15.403149176048764,520832900.0
2008-02-08,122.08,125.7,121.6,125.48,48427600.0,0.0,1.0,15.50986845440476,15.969777725415126,15.448886009629906,15.94182743822665,338993200.0
2008-02-11,128.01,129.98,127.2,129.45,42908300.0,0.0,1.0,16.263255740894113,16.51353785799091,16.160347865336547,16.446203075218676,300358100.0
2008-02-12,130.7,131.0,123.62,124.86,43785000.0,0.0,1.0,16.605011525153195,16.64312555313748,15.705520464724087,15.863058447059128,306495000.0
2008-02-13,126.68,129.78,125.63,129.4,34590500.0,0.0,1.0,16.094283550163787,16.48812850600139,15.96088445221879,16.4398507372213,242133500.0
2008-02-14,129.4,130.8,127.01,127.46,34074900.0,0.0,1.0,16.4398507372213,16.61771620114796,16.1362089809465,16.193380022922923,238524300.0
2008-02-15,126.27,127.08,124.06,124.63,32189300.0,0.0,1.0,16.042194378585265,16.14510225414283,15.761421039101037,15.833837692271176,225325100.0
2008-02-19,125.99,126.75,121.44,122.18,35894500.0,0.0,1.0,16.006621285799934,16.10317682336012,15.428558528038288,15.522573130399524,251261500.0
